	genes	log2fc	mean	qval
0	gene0	0.1834461410959313	1.008	0.7849344943176901
1	gene1	0.0482955570407812	0.956	0.9039673021243227
2	gene10	0.1291076026288785	0.984	0.9039673021243227
3	gene11	-0.1060416374103247	0.98	0.9039673021243227
4	gene12	-0.0127110517495539	0.908	0.971582039975668
5	gene13	0.045087889528538	1.024	0.9039673021243227
6	gene14	-0.3060136055239887	1.06	0.2389798932231955
7	gene15	0.0960268877737758	1.022	0.9039673021243227
8	gene16	0.0549083411023893	0.946	0.9039673021243227
9	gene17	0.100693999619473	1.032	0.9039673021243227
10	gene18	-0.0216138131060626	1.068	0.932817236616462
11	gene19	0.0	1.004	1.0
12	gene2	-0.1458508664634549	0.99	0.8670631063382469
13	gene20	-0.1443899093351749	1.04	0.8670631063382469
14	gene21	-0.0057823525940061	0.998	0.9869684260165348
15	gene22	-0.0537712564409808	0.966	0.9039673021243227
16	gene23	-0.1744243881528453	1.06	0.7849344943176901
17	gene24	0.3018903416508171	1.036	0.2389798932231955
18	gene25	-0.1657372044788788	0.976	0.7849344943176901
19	gene26	-0.0668315084782086	0.95	0.9039673021243227
20	gene27	-0.0980320829605268	1.06	0.9039673021243227
21	gene28	-0.0687127500840143	1.008	0.9039673021243227
22	gene29	0.1625075298798292	1.102	0.7849344943176901
23	gene3	-0.0524674198941356	0.99	0.9039673021243227
24	gene30	0.0554951125917036	1.04	0.9039673021243227
25	gene31	0.0626119772996787	1.014	0.9039673021243227
26	gene32	0.1077561803558829	1.018	0.9039673021243227
27	gene33	-0.1260535030063967	0.962	0.9039673021243227
28	gene34	-0.0999414378739068	0.982	0.9039673021243227
29	gene35	0.0539948896407293	0.962	0.9039673021243227
30	gene36	0.3375813591988479	0.996	0.2389798932231955
31	gene37	0.056786026091577	1.118	0.9039673021243227
32	gene38	-0.0334230015374503	1.036	0.9039673021243227
33	gene39	-0.1766445992486807	1.014	0.7849344943176901
34	gene4	-0.1780528823257128	1.006	0.7849344943176901
35	gene5	0.0293838067810943	0.982	0.917784603617422
36	gene6	0.0776793638218755	0.966	0.9039673021243227
37	gene7	0.0349056149482014	0.992	0.9039673021243227
38	gene8	-0.2084700451040786	1.026	0.7849344943176901
39	gene9	-0.0369942074822014	0.936	0.9039673021243227
